artist,song,genre
Britney Spears,Oops!...I Did It Again,pop
blink-182,All The Small Things,"rock, pop"
Faith Hill,Breathe,"pop, country"
Bon Jovi,It's My Life,"rock, metal"
*NSYNC,Bye Bye Bye,pop
Sisqo,Thong Song,"hip hop, pop, R&B"
Eminem,The Real Slim Shady,hip hop
Robbie Williams,Rock DJ,"pop, rock"
Destiny's Child,Say My Name,"pop, R&B"
Modjo,Lady - Hear Me Tonight,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,pop
Bomfunk MC's,Freestyler,pop
Sting,Desert Rose,"rock, pop"
Melanie C,Never Be The Same Again,"pop, Dance/Electronic"
Aaliyah,Try Again,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,pop
Alice Deejay,Better Off Alone,pop
Gigi D'Agostino,The Riddle,pop
Dr. Dre,The Next Episode,hip hop
Linkin Park,In the End,"rock, metal"
Tom Jones,Sexbomb,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,pop
M.O.P.,Cold as Ice,hip hop
Melanie C,I Turn To You,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,metal
Darude,Sandstorm,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),"hip hop, pop, R&B"
Moloko,The Time Is Now,"pop, Dance/Electronic"
Chicane,Don't Give Up,Dance/Electronic
DMX,Party Up,"hip hop, pop"
Debelah Morgan,Dance with Me,"pop, R&B"
Madonna,Music,pop
Ruff Endz,No More,R&B
Britney Spears,Born to Make You Happy,pop
Montell Jordan,Get It On Tonite,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',hip hop
LeAnn Rimes,I Need You,"pop, country"
Avant,Separated,"pop, R&B"
Enrique Iglesias,Be With You,"pop, latin"
Toni Braxton,He Wasn't Man Enough,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,hip hop
Missy Elliott,Hot Boyz,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,pop
Samantha Mumba,Gotta Tell You,pop
M??a,Case Of The Ex (Whatcha Gonna Do),"pop, R&B"
Mary Mary,Shackles (Praise You),R&B
Next,Wifey,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,"pop, R&B"
Ricky Martin,She Bangs - English Version,"pop, latin"
Jagged Edge,He Can't Love U,"hip hop, pop, R&B"
Sisqo,Incomplete,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98??),"pop, R&B"
Baha Men,Who Let The Dogs Out,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","pop, R&B"
LeAnn Rimes,Can't Fight The Moonlight,"pop, country"
Oasis,Go Let It Out,"Folk/Acoustic, rock"
DJ ??tzi,Hey Baby (Radio Mix),"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),"pop, R&B"
Craig David,Fill Me In,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,pop
Madonna,American Pie,pop
Red Hot Chili Peppers,Otherside,rock
Sammie,I Like It,"hip hop, pop, R&B"
Craig David,7 Days,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),"rock, blues, latin"
Kandi,Don't Think I'm Not,"pop, R&B"
P!nk,There You Go,pop
Vengaboys,Shalala Lala,pop
Ronan Keating,Life Is A Rollercoaster,"pop, rock"
Madison Avenue,Don't Call Me Baby,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'","pop, R&B"
C??line Dion,That's the Way It Is,pop
3 Doors Down,Kryptonite,"pop, rock, metal"
Carl Thomas,I Wish,"pop, R&B"
Mystikal,Shake Ya Ass,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),"rock, pop, metal"
Donell Jones,Where I Wanna Be,"pop, R&B"
Savage Garden,Crash and Burn,pop
Westlife,My Love,pop
All Saints,Pure Shores,pop
Destiny's Child,"Independent Women, Pt. 1","pop, R&B"
*NSYNC,It's Gonna Be Me,pop
