artist,song,genre,gender,sountrack,language
Glass Animals,Heat Waves,"alternative, pop, r&b",band,FALSE,english
Harry Styles,As It Was,"rock, r&b, alternative, pop",male,FALSE,english
The Kid LAROI & Justin Bieber,Stay,"rock, pop",male,FALSE,english
Adele,Easy On Me,pop,female,FALSE,english
Ed Sheeran,Shivers,"r&b, pop",male,FALSE,english
Disney,Encanto,pop,band,TRUE,"spanish, english"
Marvel,Black Panther: Wakanda Forever,pop,band,TRUE,"spanish, english"
Paramount,Top Gun: Maverick,pop,band,TRUE,english
GAULOIS ft. Ninho,Jolie,pop,male,FALSE,french
Zola ft. Tiakola,Toute La Journee,pop,male,FALSE,french
Aya Nakamura,Baby,pop,female,FALSE,french
Bad Bunny & Chencho Corleone,Me Porto Bonito,pop,male,FALSE,spanish
Becky G X Karol G,MAMIII,pop,female,FALSE,spanish
李榮浩,烏梅子醬,pop,male,FALSE,chinese
小阿七,從前說,pop,female,FALSE,chinese
张远,嘉宾,pop,male,FALSE,chinese
韋禮安,如果可以,pop,male,FALSE,chinese
任然,飞鸟和蝉,pop,female,FALSE,chinese
BE:First,Boom Boom Back,pop,band,FALSE,japanese
Sakurazaka 46,Sakura Zuki,pop,band,FALSE,japanese
Official HIGE DANdism,Subtitle,pop,band,FALSE,japanese
VAUNDY,Kaiju No Hanauta,"pop, rock",male,FALSE,japanese
Kenshi Yonezu,Kick Back,"pop, rock",male,FALSE,japanese
IVE,Love Dive,pop,band,FALSE,korean
BIGBANG,Still Life,"rock, r&b, pop",band,FALSE,korean
(G)I-DLE,Tomboy,pop,band,FALSE,korean
Red Velvet,Feel My Rhythm,pop,band,FALSE,korean
Jay Park Ft. IU,Ganadara,pop,male,FALSE,korean
